<<<<<<< HEAD
,TicketID,SystemName,TicketSummary,TicketDescription,IssueType,Timestamp,Priority,Severity,OpenTime,CloseTime,Status,Assignee
0,TCKT1000,PaymentSystem,Compliance Issue issue in PaymentSystem,Incorrect configuration settings detected in server settings. Needs review and update.,Compliance Issue,2025-01-01 14:35:18,Medium,Minor,2025-01-01 14:35:18,,Open,Eve
1,TCKT1001,AnalyticsEngine,Security Breach issue in AnalyticsEngine,Potential security risk detected related to unauthorized access attempts. Immediate investigation required.,Security Breach,2025-02-22 19:31:39,Medium,Minor,2025-02-22 19:31:39,,Open,Alice
2,TCKT1002,MobileApp,Bug issue in MobileApp,Users are experiencing 500 Internal Server error when trying to login.,Bug,2025-01-07 23:41:27,Medium,Critical,2025-01-07 23:41:27,,Open,Dana
3,TCKT1003,PaymentSystem,Security Breach issue in PaymentSystem,Potential security risk detected related to weak password enforcement. Immediate investigation required.,Security Breach,2024-12-29 09:12:15,Low,Critical,2024-12-29 09:12:15,,Open,Bob
4,TCKT1004,AnalyticsEngine,Performance Issue issue in AnalyticsEngine,System is responding slowly when users load dashboard. Expected response time is 2 seconds but observed is 8.,Performance Issue,2025-02-14 15:53:14,Medium,Minor,2025-02-14 15:53:14,,In Progress,Alice
5,TCKT1005,PaymentSystem,Bug issue in PaymentSystem,Users are experiencing 500 Internal Server error when trying to login.,Bug,2025-02-21 17:47:11,Critical,Critical,2025-02-21 17:47:11,,In Progress,Bob
6,TCKT1006,UserPortal,Bug issue in UserPortal,Users are experiencing null pointer error when trying to upload files.,Bug,2024-12-13 20:16:45,Medium,Major,2024-12-13 20:16:45,2024-12-14 00:16:45,Closed,Bob
7,TCKT1007,AnalyticsEngine,Compliance Issue issue in AnalyticsEngine,Incorrect configuration settings detected in user permissions. Needs review and update.,Compliance Issue,2024-12-11 08:28:05,Critical,Major,2024-12-11 08:28:05,,In Progress,Bob
8,TCKT1008,PaymentSystem,Security Breach issue in PaymentSystem,Potential security risk detected related to unauthorized access attempts. Immediate investigation required.,Security Breach,2025-01-09 16:31:52,Critical,Minor,2025-01-09 16:31:52,2025-01-09 19:31:52,Closed,Alice
9,TCKT1009,MobileApp,Compliance Issue issue in MobileApp,Incorrect configuration settings detected in user permissions. Needs review and update.,Compliance Issue,2025-01-18 09:07:47,Critical,Critical,2025-01-18 09:07:47,,In Progress,Charlie
10,TCKT1010,AnalyticsEngine,Bug issue in AnalyticsEngine,Users are experiencing 404 Not Found error when trying to access reports.,Bug,2024-12-18 04:19:11,Low,Critical,2024-12-18 04:19:11,,Open,Eve
11,TCKT1011,PaymentSystem,Security Breach issue in PaymentSystem,Potential security risk detected related to weak password enforcement. Immediate investigation required.,Security Breach,2025-01-13 06:25:35,High,Critical,2025-01-13 06:25:35,,In Progress,Bob
12,TCKT1012,MobileApp,Compliance Issue issue in MobileApp,Incorrect configuration settings detected in server settings. Needs review and update.,Compliance Issue,2024-12-13 02:22:27,Medium,Minor,2024-12-13 02:22:27,,Open,Bob
13,TCKT1013,AnalyticsEngine,Bug issue in AnalyticsEngine,Users are experiencing 404 Not Found error when trying to access reports.,Bug,2025-02-23 22:36:48,Critical,Critical,2025-02-23 22:36:48,2025-02-24 01:36:48,Resolved,Eve
14,TCKT1014,MobileApp,Bug issue in MobileApp,Users are experiencing 404 Not Found error when trying to access reports.,Bug,2025-01-16 23:38:51,Medium,Major,2025-01-16 23:38:51,2025-01-17 03:38:51,Closed,Bob
15,TCKT1015,UserPortal,Compliance Issue issue in UserPortal,Incorrect configuration settings detected in server settings. Needs review and update.,Compliance Issue,2024-12-28 20:35:17,Medium,Critical,2024-12-28 20:35:17,,In Progress,Eve
16,TCKT1016,MobileApp,Compliance Issue issue in MobileApp,Incorrect configuration settings detected in API integrations. Needs review and update.,Compliance Issue,2025-01-15 13:15:17,Medium,Minor,2025-01-15 13:15:17,2025-01-15 14:15:17,Resolved,Alice
17,TCKT1017,UserPortal,Compliance Issue issue in UserPortal,Incorrect configuration settings detected in user permissions. Needs review and update.,Compliance Issue,2024-12-06 05:32:40,Low,Critical,2024-12-06 05:32:40,,Open,Eve
18,TCKT1018,AnalyticsEngine,Security Breach issue in AnalyticsEngine,Potential security risk detected related to unauthorized access attempts. Immediate investigation required.,Security Breach,2025-02-10 21:04:49,Critical,Critical,2025-02-10 21:04:49,2025-02-11 00:04:49,Closed,Bob
19,TCKT1019,AnalyticsEngine,Performance Issue issue in AnalyticsEngine,System is responding slowly when users process transactions. Expected response time is 5 seconds but observed is 15.,Performance Issue,2025-02-17 18:02:50,Critical,Major,2025-02-17 18:02:50,2025-02-17 21:02:50,Resolved,Dana
20,TCKT1020,AnalyticsEngine,Security Breach issue in AnalyticsEngine,Potential security risk detected related to weak password enforcement. Immediate investigation required.,Security Breach,2024-12-26 13:43:25,Low,Minor,2024-12-26 13:43:25,,Open,Eve
21,TCKT1021,MobileApp,Compliance Issue issue in MobileApp,Incorrect configuration settings detected in user permissions. Needs review and update.,Compliance Issue,2024-12-17 11:47:22,Low,Major,2024-12-17 11:47:22,,In Progress,Eve
22,TCKT1022,PaymentSystem,Bug issue in PaymentSystem,Users are experiencing 500 Internal Server error when trying to login.,Bug,2025-02-11 05:52:21,Medium,Major,2025-02-11 05:52:21,2025-02-11 10:52:21,Resolved,Eve
23,TCKT1023,PaymentSystem,Performance Issue issue in PaymentSystem,System is responding slowly when users process transactions. Expected response time is 5 seconds but observed is 15.,Performance Issue,2024-12-11 21:13:10,High,Minor,2024-12-11 21:13:10,,In Progress,Eve
